filename,true_class,original_pred,new_prediction,confidence,is_correct,brightness,contrast,blur_score
pred_Fillings__0009_jpg.rf.957a0a16c5101765b0679e95eb9619a3_segment_278.png,Cavity,Fillings,Normal,0.9617070555686951,False,104.835693359375,92.84182567746458,1236.0219132900238
pred_Fillings__0669_jpg.rf.f1e2059357f8ba42a2c88434285180de_segment_428.png,Cavity,Fillings,Cavity,0.9932157397270203,True,63.173095703125,56.93280517817197,205.3586881160736
pred_Fillings__0905_jpg.rf.93c5b0e9d232f394f6cedf1c8f3879f4_segment_198.png,Cavity,Fillings,Fillings,0.9876800775527954,False,103.650634765625,80.700369111872,630.5994238257408
pred_Implant__0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d_segment_430.png,Cavity,Implant,Implant,0.6151552796363831,False,80.92919921875,104.69170405244928,2594.3443207144737
pred_Normal__0038_jpg.rf.e13603a0be37e61c53a3b781040ce9f7_segment_461.png,Cavity,Normal,Normal,0.9966804385185242,False,103.587158203125,83.58857297713533,543.9155633449554
pred_Normal__0053_jpg.rf.0a39e4969cb730a0e08d415d819e14d9_segment_30.png,Cavity,Normal,Normal,0.9398850202560425,False,87.597412109375,69.22510751801651,560.2381057143211
pred_Normal__0151_jpg.rf.5b81ded715693313866503d5a4da1639_segment_124.png,Cavity,Normal,Cavity,0.8926298022270203,True,106.66796875,95.92771789184044,1321.7524201869965
pred_Normal__0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d_segment_432.png,Cavity,Normal,Normal,0.5300379395484924,False,132.828369140625,96.93139278934603,757.1361074447632
pred_Normal__0180_jpg.rf.f74c66bb6212781fc6e6404fffe7ab9d_segment_434.png,Cavity,Normal,Normal,0.9028777480125427,False,98.71728515625,101.67661931863748,634.9529225826263
pred_Normal__0485_jpg.rf.09576812fc790cab5da2f6a5ceafe25f_segment_25.png,Cavity,Normal,Normal,0.9598685503005981,False,88.434326171875,70.95879074380636,179.8102359175682
pred_Normal__0669_jpg.rf.f1e2059357f8ba42a2c88434285180de_segment_429.png,Cavity,Normal,Normal,0.5375047922134399,False,33.88330078125,36.95085622585211,117.50672429800034
